"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"gckk","bcjk","bekk","gejk","igkj","hdjk","hgjk","gdkk","fgkj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dckj","bcjk","gfkk","ggkj","egkk","bgkk","cgjk","fgkj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dcjk","eckj","eejk","dfkj","icjk","hfkk","ifkk","fgkj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdkj","cejk","fekk","efkj","cbjj","ebjj","bdjj","ddjj","cejj","fgkj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fekk","efjk","fgjk","cekj","ggkk","egjk","bgkk","cgkj","dbjj","edkj","ifkj","ecjk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","eekk","cfkj","cckj","bekk","gfkk","gdkj","edkj","gckj","ecjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cgkk","cckj","bckk","gejk","igkj","hdjk","hgjk","ggkk","hfjk","ifkk","jcjj","ecjk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdjk","egkk","ffkk","cfjk","dckj","hdjk","hdkk","ecjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bekj","egkj","bgkk","cfkk","cckj","iekk","ifkk","ickk","fdkj","edkk","cdjk","cejk","gekk","hfkj","ecjk",NA,NA,NA,NA,NA
"gckk","eekj","cfkk","dfkk","ickk","edkj","cdjk","gfkj","ecjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","egkk","bgkk","ggkk","bckk","gejk","igkj","hdjk","hgjk","gdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdkj","cckj","idkj","hcjk","cfkj","cgkk","cgjk","dfkk","ickk","gdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cfkk","cckj","iekk","hgkk","cekj","gejk","ecjk","gdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdkk","cckj","bekk","gejk","igkk","idkj","hekk","ifjk","gdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gekk","fckj","eekj","cfkk","cgjk","cgkj","dbjj","ebjj","fdkj","efkj","bckj","gfkj","bckk","bekk","egkj","gdkk",NA,NA,NA,NA
"gckk","gekj","hfjk","gfkk","gdkj","fdkk","ffjj","dbjj","ddkj","gdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bfkk","ggjk","dcjk","bekk","gekj","hgkj","dckj","ddkk","icjk","gdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","egkk","ffkk","fgkk","fcjk","cdkj","gfjk","hfkk","gdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","efjk","egkk","dcjk","cekk","hfkj","fcjk","gcjk","gdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","idkk","ickk","gdkj","ggkk","gfjk","hfkj","dfkk","hckj","gdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gejk","bgkk","cgkj","cgjk","dckk","bckk","fekk","hgjk","gdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cckj","bekk","hekj","ickk","gdkj","fgjk","cekj","dfkk","ccjk","igkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bckk","bekk","efkj","cbjj","ebjj","fdkj","edkk","cdjk","igkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","edjk","ebjj","fckj","fcjk","hcjk","hdjk","hgjk","igkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","edkj","cdjk","egkk","dcjk","idkk","iekk","dgkk","ggkj","hdkk","igkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ddjk","dcjk","hdkj","iekk","efkk","bfkk","ffjk","fgkk","gcjk","igkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gejk","igkj","hdjk","ickk","fdkj","gfkk","gdkj","edkk","hekj","igkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bekj","efjk","egkk","ffkk","dcjk","bckk","fekk","igkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fdkj","efkj","cbjj","ebjj","fckj","gckj","ddkj","dfkk","cckj","bekk","gejk","igkj","dckk",NA,NA,NA,NA,NA,NA,NA
"gckk","edkj","ggkk","egjk","bgkk","cgkj","dbjj","ebjj","fdkj","fcjk","dckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fdjk","dfkk","ggkk","cekj","gejk","hgkj","hdjk","hgjk","dckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","edjk","hgkk","hdjk","ickj","dfkk","ccjk","bekj","egkj","bgkk","cgjk","dckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bcjk","bekk","hekj","ickk","edkj","cdkk","cekk","dckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bckk","gejk","efjk","egkk","ffkk","efkj","bckj","gfkj","dckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdjk","cejk","gejk","efkk","bfkk","ffjk","fdkk","edkj","fejk","dckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gdkk","gejk","bgkk","cfkk","cckj","bckk","cekk","ifkk","ickk","ifjk","dckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","idik","dgjk","ffkk","ggkk","bckk","bfkk","cgkj","dckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bdkk","efkk","ffkk","cfjk","cckk","gejk","igkk","ickk","fdkj","edkk","cdjk","gfkj","dckk",NA,NA,NA,NA,NA,NA,NA
"gckk","eekk","cfkj","cckj","idkj","ecjk","hekj","igkk","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ddkk","bdkj","eejj","fgkj","fdkj","efkk","bfkk","ffjk","fdkk","ffjj","dbjj","ddkj","ccjk","gekj","fckk",NA,NA,NA,NA,NA
"gckk","bcjk","bekk","ggkk","cekj","gejk","igkj","hdjk","hgjk","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bckj","bfkk","cfkj","dfkk","ggkk","hdkj","hekk","dgjk","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ggkj","egkk","bgkk","ggkk","gfjk","bcjk","gekk","ifkk","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bckk","gejk","hgkj","hdjk","ickk","fdkj","efkj","bckj","gfkj","ggkk","hfjk","fckk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdkk","gfjk","gdkj","edkk","hekj","fckj","ddkk","dfjk","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdkj","cejk","fekk","ggkj","idkk","eckk","bfjk","ggkk","fgkk","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","idjk","ickj","dfkk","ffkk","fgkk","fckj","edkj","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bekj","efjk","egkk","dcjk","bejk","gekj","ifkk","hdkk","ffjk","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bckk","bfkk","cfjk","dckj","bejk","ggkk","gfkj","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bdkk","egjk","bgkk","cgjk","dfkk","gfkk","bckk","fekk","dgkk","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ifjk","ffkk","efkj","cbjj","ebjj","fdkj","efkk","bfkk","cgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","igkj","idkk","ickk","gdkj","hdkj","iekk","efkk","dfkk","hckj","cgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ifkj","igjk","hckk","cckj","bekk","gekj","eckk","bfjk","cgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","icjk","hfkk","bckk","cfkj","dfkk","ffkk","fgkj","fdkj","edkk","cgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","eejk","dfkj","icjk","fckk","egkj","bgkk","dfkk","gfkk","cekk","ifkj","gcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bckk","bekk","efkj","cbjj","ebjj","fdkj","cfjk","dcjk","idkk","ifkk","hdkk","gcjk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","eejk","cfjk","gfjk","ggkj","idkk","iekk","jckk","gcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hdik","cgkk","cgkj","dbjj","dckj","ddjk","hdkk","gcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","egkk","bgkk","cgkj","dckk","cekj","hfkk","igkk","gcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cfjk","hgkk","cekj","dfkk","hckj","gfjk","eckj","edkk","gcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fekk","dfkk","ggkk","cekj","gekk","igkj","idkk","jcjk","gcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cejk","cfjk","cckk","bfjk","ggkk","hdkj","fgkj","gcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","iekk","dgkk","ggkj","hdkj","hejk","hfkk","ggkk","cekj","gekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ffkk","dcjk","eckj","eejk","hcjk","cfkj","dfkk","dckj","gcjk","gekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","efkk","bfkk","ffjk","fdkk","ffjj","dbjj","ddkj","ccjk","gekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdkj","cckj","idkj","hcjk","hdjk","hdkk","gekj","ggjk","gdkk","gekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hfkj","egkk","ffkk","efkj","cbjj","ebjj","fckj","hckj","cdjk","gfkj","bckk","bekk","gekk",NA,NA,NA,NA,NA,NA,NA
"gckk","cgkk","cckj","iekk","ifkk","idkk","hgjk","ggkk","cekk","gekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","igkj","idkk","ickk","fdkj","fcjk","bckk","fdkk","dfkk","bdjk","gekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","eekk","dfkk","dcjk","bckk","fekk","hgjk","hdkk","gekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gfkj","eckj","bckk","efkk","ffkk","gckj","hdjk","ickj","gekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dfkj","icjk","hfkk","hgkk","cekj","efjk","fgjk","hckj","gekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fekj","cfjj","cckj","fckk","edkj","cfjk","hgkk","hdjk","ickk","gdkj","fdkk","gekk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ifkj","igjk","hdkk","eckj","cfjk","dcjk","bejk","gekk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fekk","dgkk","ccjk","bekj","egkj","bgkk","ggkk","bckk","cfkj","cckj","idkj","cdkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fdjk","dfkk","cckj","iekk","hgkk","idkk","eckj","eejk","hcjk","cdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdkj","cckj","bekk","hekj","ickk","fdkj","cfjk","dckj","hdjk","hdkk","hfjk","cdkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cckk","gejk","hgkj","hdkj","iekk","ifkk","ickk","edkj","cdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gekk","hfjk","bckk","bekk","cfkj","cckk","gdjk","edjk","cdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ccjk","cejk","igkj","hdjk","hgjk","ggkk","gcjk","cdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dekk","dckk","hckk","ggkk","egkk","bgkk","cgkj","dbjj","ddkj","dfjk","cdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fejk","cfjk","cfkk","dfkk","ggkk","hdkj","hekk","igjk","cdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ifjk","ffkk","ggkk","cejk","fekk","dfkk","hckj","cdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","iekk","hckk","hfjk","ifkk","ecjk","bfjk","ggkk","cekk","ifkj","cdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","eejk","cfjk","gfjk","bcjk","gekk","ffjk","fdkk","edkj","cdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fekk","cfjk","dckk","bekk","gfjk","gdkj","hdkj","cdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bfjk","cgkj","cgjk","dfkk","hckk","fekk","ffkk","fgkj","cdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","eejk","dfkj","icjk","fckk","egkj","bgkk","dfkk","gfkk","hgkk","dgkk","cckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fekj","cfjj","cckj","idkj","fgkk","gckj","ddkj","cckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cejk","fekk","ggjk","ggkk","gfjk","gdkj","edkj","cckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fejk","efkk","bfkk","ffjk","fdkk","ffjj","dbjj","ebjj","cckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hejk","hgkk","hdkk","hgkj","cfjk","gfjk","efkk","dfkk","ccjk","cckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hdjk","hdkk","ffjk","efkk","ffkk","gckj","cdkk","cckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cckj","iekk","hckk","idkk","eckj","fejk","fgkk","ffkk","cgjk","cckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bejk","egkk","dcjk","idkk","hekj","ickk","edkj","cdkj","cckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bekj","efkk","fckj","edkj","cdjk","cejk","gejk","dfkk","cckj","bckk","bfkk","ggjk","gdkk","hekk","ifjk","cckk",NA,NA,NA,NA
"gckk","eejk","hcjk","cfkj","dfkk","ggkk","gdkk","gejk","ecjk","cckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","idik","cfkk","fcjk","hcjk","ffkj","hckk","hekk","jgjk","cckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fekj","cfjj","cckj","bekk","egjk","bgkk","dfkk","ccjk","eckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cekj","efjk","egkk","ffkk","cfjk","gfjk","igkj","hdjk","hekj","igkk","eckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bejk","egkj","bgkk","cfkk","cckj","iekk","hckk","fdkj","fgkj","eckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdjk","egkk","bgkk","cgkj","dbjj","edkj","fgkj","cfkk","cfkj","cckj","gekk","eckk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bekk","gekj","hfjk","igkj","idkk","eckj","eekk","dfkk","hckj","gdkj","fgjk","gckj","ecjk","bfjk","eckk",NA,NA,NA,NA,NA
"gckk","fekk","egkk","dcjk","bekk","gfjk","gdkj","fdkk","eckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cgkj","cgjk","dfkk","gfkk","gcjk","ddkj","dfjk","eckk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","egkk","bgkk","cgkj","dbjj","ebjj","fdkj","cfjk","hfkj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
