"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"gckk","hckj","dckj","dbjj","ffkj","bekk","gekk","hgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","jfkk","dcjk","hckj","dfkk","bcjk","fgkj","bfjk","hgkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","igkk","hekk","hfkj","iejk","cgjk","egkj","hgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cfjk","eejk","dgkj","ickk","dfjk","egkj","hgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dcjk","cfjk","cekk","hekk","ggkk","fekk","hgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gckj","dfjk","bckk","egkk","bgkk","cekk","cekj","hgkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gdkk","hdjk","hckj","dgkk","ffkj","ggkj","hgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hcjk","cfkj","eckj","gckj","dgjk","fgkj","efkj","bejk","gekk","hgkk",NA,NA,NA,NA,NA,NA
"gckk","ecjk","hfjk","gekk","ifkj","dcjk","dgjk","egkk","fgkj","ggkj","hekk","hgkk",NA,NA,NA,NA,NA
"gckk","jcjk","gcjk","gfjk","dfkk","ffjk","gekk","hgkj","hgkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","icjk","dckk","dfkj","cfkj","ggkk","eekk","hgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dckj","dbjj","ffkj","bekk","gekk","hfkj","fgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gcjk","ickj","dfkk","ifkj","hekk","hfkj","iekk","ggjk","fckj","igkj","fgkj","ggkj","fgkk",NA,NA,NA
"gckk","dcjk","dgkk","bcjk","fgkj","cgjk","cgkj","fgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ifkk","cfkj","cekk","iekk","cgjk","egkj","fgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gfkj","fekj","dekk","dejk","cgjk","dgkk","hgkj","fgkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gcjk","gfjk","cfkj","eckj","gckj","ecjk","hgkk","hfkj","hfjk","fgkk",NA,NA,NA,NA,NA,NA
"gckk","cdkj","edkk","cdjk","hckk","ffkj","bekk","cgjk","egkj","igkk",NA,NA,NA,NA,NA,NA,NA
"gckk","jfkk","dcjk","hckj","ccjk","hfkj","cekk","cekj","igkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gdkk","hdkk","gfkk","hfkj","gfkj","cfjk","eejk","igkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","efkj","dekk","dejk","cgjk","dckj","ifkk","hfkj","fekk","igkk",NA,NA,NA,NA,NA,NA,NA
"gckk","cckj","dckj","eckj","gckj","dfjk","gfkk","cdkk","edkk","igkk",NA,NA,NA,NA,NA,NA,NA
"gckk","gdkj","fgkj","cgjk","cfkj","efkk","eekk","igkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gdjk","hdkk","ickk","efjk","dgkj","cgkk","cekk","igkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gdkk","hdjk","gckj","dckj","cfjk","efkk","cgkj","igkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bfjk","cgkj","bekk","cfjk","ffjk","gfjk","cfkj","igkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bgjk","eekk","cfkj","cfjk","cekk","iekk","cgjk","igkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gfkj","cejk","cfjk","dckk","ifkj","gcjk","igkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ickj","dgjk","fgkj","bekk","dgkk","fcjk","igkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gfjk","hfkj","fekj","cejk","cfjk","dckk","gckj","ickk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cfkj","eckj","efjj","dbjj","ebjj","cckj","ickk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","igkj","gfkj","fekj","dekk","cgkj","gekk","dgkj","dckk","ickk",NA,NA,NA,NA,NA,NA,NA
"gckk","ffjk","gekk","cgkk","dfkj","hckk","gdkk","idkk","ickk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gfjk","ifkj","hekk","bekk","cfjk","efkk","cgkj","gcjk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","eckj","efjj","dbjj","ebjj","cckj","hckk","ecjk","cdkk","gcjk",NA,NA,NA,NA,NA,NA,NA
"gckk","hgjk","gekk","hfkj","fekj","ffjk","cckj","eckk","gcjk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fdkj","ffkk","cgjk","dckk","hcjk","gdkk","gcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bgkk","cekk","iekk","cgjk","egkj","fckj","gcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dgjk","egkk","eejk","dgkj","bckk","efkk","gcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gfkj","fekj","dekk","dejk","cgjk","fgkk","gcjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cfkj","cfjk","ffjk","gfjk","dfkk","bcjk","fgkj","fgjk","gcjk",NA,NA,NA,NA,NA,NA,NA
"gckk","ffjk","dfkk","ifkj","hekk","hfkj","iekk","ggjk","cdkk","hckk",NA,NA,NA,NA,NA,NA,NA
"gckk","hckj","dfkk","bcjk","fgkj","fgjk","egkj","fckj","gckj","hckk",NA,NA,NA,NA,NA,NA,NA
"gckk","hfkk","ifkj","gcjk","gfjk","cdkk","edjk","cdjk","hckk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","jfkk","dcjk","dckk","icjk","gdkk","hdjk","hckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ifkj","dcjk","hckj","dckk","hcjk","gdkk","hdkk","hckk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cgkj","bekk","cfjk","eejk","dgkj","ickk","hckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cfkj","eckj","efjj","dbjj","ebjj","cckj","fgjk","bekk","cgjk","ggkj","fekk","hckk",NA,NA,NA,NA
"gckk","fdkj","dbjj","ffkj","cejk","cfjk","ffjk","gekk","hfkj","hckk",NA,NA,NA,NA,NA,NA,NA
"gckk","cdkk","ffkj","bekk","dgkk","ifkk","hfkj","fekj","hckk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cgkj","gekk","ifkj","dfjk","hfkj","fekk","hckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bgkk","gfkj","bekk","cgkk","hfkj","idkk","hckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
