"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"gfkk","hfkj","cekk","dekk","dgkk","cgjk","fgkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","icjk","eckj","hgkk","cgkk","gfjk","fgkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","hcjk","ecjk","cckj","gcjk","dfkk","fgkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","bfkk","fekk","dfkk","hfjk","cekk","eekk","fgkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","dfkj","dfjk","ffkk","gckk","dgjk","fgkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","ickk","efjk","gekk","hekk","cekk","ifkj","hckk","ifkk","fgjk","fgkk",NA,NA,NA,NA
"gfkk","gdkk","hfkk","ggkj","hckk","eckk","gfkj","gfjk","fgkk",NA,NA,NA,NA,NA,NA
"gfkk","cckj","gckk","ifkk","hdkk","igkj","hgkk","cckk","fgkk",NA,NA,NA,NA,NA,NA
"gfkk","gcjk","ickk","ecjk","fckk","dckj","igkk","ffjk","dgkj","fgkk",NA,NA,NA,NA,NA
"gfkk","hfjk","cekk","ifkj","hckk","cckk","hckj","ggjk",NA,NA,NA,NA,NA,NA,NA
"gfkk","cfjk","gfjk","dfkj","dfjk","hgkk","ggjk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","fdkk","hekk","gdkj","hgkk","ggkj","hckk","ggjk",NA,NA,NA,NA,NA,NA,NA
"gfkk","fekk","hekk","igkk","gfjk","cckk","ggjk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","igkj","cfkk","gfjk","igkk","dfkj","cckk","eckk","hgjk","ggjk",NA,NA,NA,NA,NA
"gfkk","cfjk","dfkk","egkk","ffkj","gckk","ggjk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","gcjk","ickk","ecjk","cckj","fgkj","eekk","gekk","hekk","hdkk","igkk","efkk","dgkj","ggjk",NA
"gfkk","gdkk","hekk","fdkk","gekk","egkk","hgjk","ggjk",NA,NA,NA,NA,NA,NA,NA
"gfkk","gdkk","igkj","cgkj","efkj","ffkk","eckk","hgjk","dcjk","cgkk",NA,NA,NA,NA,NA
"gfkk","ffkj","gckk","hckj","gfjk","fgkk","gfkj","cgkk",NA,NA,NA,NA,NA,NA,NA
